"Region","Category","Year","Value"
"Hunan","medicalbed",2017,45.23
"Hunan","medicalbed",2016,42.58
"Guangdong","medicalbed",2024,64.44
"Guangdong","medicalbed",2023,62.86
"Guangdong","medicalbed",2022,60.83
"Guangdong","medicalbed",2021,58.9
"Guangdong","medicalbed",2020,56.48
"Guangdong","medicalbed",2019,54.52
"Guangdong","medicalbed",2018,51.69
"Guangdong","medicalbed",2017,49.21
"Guangdong","medicalbed",2016,46.51
"Guangxi","medicalbed",2024,37.73
"Guangxi","medicalbed",2023,36.2
"Guangxi","medicalbed",2022,34.17
"Guangxi","medicalbed",2021,31.9
"Guangxi","medicalbed",2020,29.56
"Guangxi","medicalbed",2019,27.74
"Guangxi","medicalbed",2018,25.59
"Guangxi","medicalbed",2017,24.11
"Guangxi","medicalbed",2016,22.45
"Hainan","medicalbed",2024,6.15
"Hainan","medicalbed",2023,6.09
"Hainan","medicalbed",2022,6.12
"Hainan","medicalbed",2021,6.14
"Hainan","medicalbed",2020,5.85
"Hainan","medicalbed",2019,4.98
"Hainan","medicalbed",2018,4.48
"Hainan","medicalbed",2017,4.2
"Hainan","medicalbed",2016,4.03
"Chongqing","medicalbed",2024,24.79
"Chongqing","medicalbed",2023,25.56
"Chongqing","medicalbed",2022,25.08
"Chongqing","medicalbed",2021,24.07
"Chongqing","medicalbed",2020,23.55
"Chongqing","medicalbed",2019,23.18
"Chongqing","medicalbed",2018,22.01
"Chongqing","medicalbed",2017,20.64
"Chongqing","medicalbed",2016,19.09
"Sichuan","medicalbed",2024,71.49
"Sichuan","medicalbed",2023,70.86
"Sichuan","medicalbed",2022,68.39
"Sichuan","medicalbed",2021,66.2
"Sichuan","medicalbed",2020,64.98
"Sichuan","medicalbed",2019,63.18
"Sichuan","medicalbed",2018,59.89
"Sichuan","medicalbed",2017,56.35
"Sichuan","medicalbed",2016,51.92
"Guizhou","medicalbed",2024,32.48
"Guizhou","medicalbed",2023,31.54
"Guizhou","medicalbed",2022,30.97
"Guizhou","medicalbed",2021,29.69
"Guizhou","medicalbed",2020,27.64
"Guizhou","medicalbed",2019,26.5
"Guizhou","medicalbed",2018,24.56
"Guizhou","medicalbed",2017,23.3
"Guizhou","medicalbed",2016,21.03
